Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
SECCO;AGUA SIN GAS VITALISIMA 3L;25;35;40;115;15;3065;9;04/04/2019
CUNNINGTON;AGUA TONICA CUNNINGTON SIN AZUCAR 1,5 L.;191,66;240;25,22;1320;14,79;7790639003123;973;25/11/2022
MARINARO;AGUA TONICA SALVADOR 1.5 L;158,33;200;26,32;1100;15,79;7795176771313;641;12/01/2023
BADIE;AGUA TONICA SANTA QUINA 1 L.;134,81;170;26,1;930;14,98;737186377120;94;08/04/2021
SECCO;AGUA TONICA SECCO 2,25 L.;160;200;25;1110;15,63;7792758322291;9848;27/08/2022
SAN JUAN;AGUA TONICA SIERRA DE LOS PADRES 1,5 L.;216;270;25;1500;15,74;7798065733706;917;21/12/2022
MARCOS DISTRIBUCIONES;AGUA VIDA  1.5 L.;22,5;30;33,33;154,99;14,81;7790036974538;98;27/09/2019
PEJINAKIS;AGUA VILLA DEL SUR 1,650 L.;126;160;26,98;870;15,08;7790315000149;74;10/09/2022
PEJINAKIS;AGUA VILLA DEL SUR 2.25 L;139,28;180;29,24;990;18,47;7798062547559;187;10/12/2022
PEJINAKIS;AGUA VILLA DEL SUR 2.5 L;64,3;80;24,42;0;0;7798062543469;983;27/09/2019
PEJINAKIS;AGUA VILLA DEL SUR X 600CC;45,61;60;31,55;630;15,11;7798062540109;65417;28/08/2021
PEJINAKIS;AGUA VILLAVICENCIO 1.5 L;200,1;250;24,94;1380;14,94;7790315000439;9466;10/12/2022
PEJINAKIS;AGUA VILLAVICENCIO LIMON C/GAS;40,75;50;22,7;540;10,43;7798062545159;88;15/01/2020
SECCO;AGUA VITALISSIMA BAJA EN SODIO 3 L;35,12;45;28,13;180;28,13;754697509123;97;26/02/2020
BARRICA BEBIDAS;AGUA VITALISSIMA X 6 L;250;300;20;0;0;7798178040012;793;24/01/2023
PEJINAKIS;AGUA WE SER X 1.5 L;29,01;38;30;0;0;7798062542035;67;16/08/2017
VASCO;ALARIS TEMPRANILLO;135,32;170;25,63;940;15,77;7790240041873;180;05/08/2020
OTROS;ALCOHOL BIALCOHOL X 500 CC;18,14;25;37;0;0;7790139003807;994;16/07/2020
