Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
PEPSI;AGUA MIMERAL ECO DE LOS ANDES X 500 CC;68;90;32,35;0;0;7,7928E+12;80;09/12/2021
PEPSI;AGUA MINERAL  ECO DE LOS ANDES X 2 L;41;50;21,95;280;13,82;7,7928E+12;70;24/07/2020
PEPSI;AGUA MINERAL ECO DE LOS ANDES X 1 L;242,73;300;23,59;1680;15,35;7,7928E+12;141;08/02/2023
PEPSI;AGUA MINERAL ECO DE LOS ANDES X 1.5 L;100;130;30;0;0;7,7928E+12;84;09/12/2021
PEPSI;AGUA MINERAL NESTLE 1,5 LITROS;169,34;210;24,01;1150;13,22;7,7928E+12;879;08/02/2023
PEPSI;AGUA MINERAL NESTLE X 500 ML;138,5;170;22,74;0;0;7,7928E+12;64;06/12/2022
PEJINAKIS;AGUA MINERAL VILLAVICENCIO 2 LT;226;280;23,89;1560;15,04;7,79032E+12;63859;10/12/2022
PEJINAKIS;AGUA MINERAL VILLAVICENCIO 500 CM3;120,41;150;24,57;1650;14,19;7,79032E+12;3233;05/11/2022
PEJINAKIS;AGUA MINERAL VILLAVICENCIO SPORT 750 CM3;121,52;150;23,33;1620;11,09;7,79032E+12;695;13/05/2022
PEPSI;AGUA NESTLE 2.25 L;194,67;240;23,29;1350;15,58;7,79593E+12;785;08/02/2023
PEJINAKIS;AGUA SAB LEVITE FRUTILLA+LIMON 2.5 cl;81,4;100;23,26;562;15;7,79806E+12;995;16/07/2020
PEJINAKIS;AGUA SAB LEVITE POMELO 1 L;39;50;28,21;0;0;7,79806E+12;85;06/08/2019
PEJINAKIS;AGUA SAB LEVITE POMELO 1.5 l;255;320;25,49;1750;14,38;7,79806E+12;834;10/12/2022
COCA COLA;AGUA SAB. AQUARIUS NARANJA 500 CM3;167;200;20;1140;13,77;7,7909E+12;993;01/11/2022
COCA COLA;AGUA SAB. AQUARIUS PERA 1.5 CM3;293,33;360;22,73;2030;15,34;7,7909E+12;65202;25/02/2023
COCA COLA;AGUA SAB. AQUARIUS PERA 500 CM3;168;200;19,32;1140;13,1;7,7909E+12;852;01/11/2022
COCA COLA;AGUA SAB. AQUARIUS POMELO 1.5 CM3;293,33;360;22,73;2030;15,34;7,7909E+12;65041;25/02/2023
COCA COLA;AGUA SAB. AQUARIUS POMELO 500 CM3;168;200;19,27;1140;13,1;7,7909E+12;913;01/11/2022
COCA COLA;AGUA SAB. AQUARIUS POMELO X  2.25 L;333,42;400;19,97;2300;14,97;7,7909E+12;65311;25/02/2023
PEJINAKIS;AGUA SAB. LEVITE ANANA 1.5 L;255;320;25,49;1750;14,38;7,79806E+12;65387;10/12/2022
PEJINAKIS;AGUA SAB. LEVITE CERO PERA 1.5 L;255;320;25,49;1750;14,38;7,79806E+12;65517;10/12/2022
PEJINAKIS;AGUA SAB. LEVITE LIMONADA CLASICA 1.5 L;56;70;25;386,4;15;7,79806E+12;478;06/08/2019
PEJINAKIS;AGUA SAB. LEVITE MANDARINA 1.5L;112,24;140;24,73;750;11,37;7,79806E+12;65462;04/09/2021
PEJINAKIS;AGUA SAB. LEVITE MANDARINA X 2.25 L;42,28;55;30;0;0;7,79806E+12;65394;16/07/2020
PEJINAKIS;AGUA SAB. LEVITE NARANJA MANGO X 2.25L;125,49;150;19,53;860;14,22;7,79806E+12;680;10/08/2020
PEJINAKIS;AGUA SAB. LEVITE NARANJA X 2.25 L;175,86;210;19,41;1170;10,88;7,79806E+12;979;08/01/2022
PEJINAKIS;AGUA SABLEVITE MZNA CERO 600 CC;19,3;30;55,44;0;0;7,79032E+12;72;17/03/2020
PEJINAKIS;AGUA SABOR. LEVITE LIMON X 2.25 L;175,86;210;19,41;1170;10,88;7,79806E+12;65516;08/01/2022
PEJINAKIS;AGUA SABORIZADA ANANA 2.25 L.;148,42;180;21,28;990;11,17;7,79032E+12;973;04/09/2021
PEJINAKIS;AGUA SABORIZADA LEVITE MANGO 1,5 L.;210,44;260;23,55;1470;16,42;7,79032E+12;990;10/09/2022
PEJINAKIS;AGUA SABORIZADA LEVITE MANGO 500 ML;123,71;150;21,25;1700,07;14,52;7,79032E+12;994;10/09/2022
PEJINAKIS;AGUA SABORIZADA LEVITE POMELO X 2.25 L;175,86;210;19,41;1170;10,88;7,79806E+12;65445;08/01/2022
PRITTY;AGUA SALDAN;47,5;70;47,37;240;26,32;7,79191E+12;99;18/03/2021
PEJINAKIS;AGUA SER CITRUS    1.5 L;40;60;50;268,8;12;7,79806E+12;997;29/08/2020
PEJINAKIS;AGUA SER SIN GAS MANZANA 1.5 L;36;45;25;0;0;7,79806E+12;-1;12/12/2018
PEJINAKIS;AGUA SER SIN GAS NARANJA;13,84;18;30;0;0;7,79806E+12;2;
PEJINAKIS;AGUA SER SIN GAS POMELO;13,84;18;30;0;0;7,79806E+12;4;
CITRIC;AGUA SIERRA DE LOS PADRES MANZANA  1,5 L.;100;120;20;660;10;7,79807E+12;96;16/05/2022
COCA COLA;AGUA SIN GAS KIN 500 CC;60,33;70;15,44;800;10,5;7,7909E+12;905;04/05/2021
PEJINAKIS;AGUA SIN GAS VILLAVICENCIO PREMIUM 500 ML;38,14;50;31,1;263,17;15;3355;985;30/01/2021
SECCO;AGUA SIN GAS VITALISIMA 3L;25;35;40;115;15;3065;9;04/04/2019
