Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
ARCOR;ALFAJOR BAGLEY NEGRO B & N 73.5G;150,4;200;32,94;0;0;7790040375000;65134;26/01/2023
ARCOR;ALFAJOR BLANCO & NEGRO BLANCO  73.5G;145,83;200;37,15;0;0;7790040991910;65058;26/01/2023
PALACIO;ALFAJOR BOMBON RECOLETA NEGRO 35GR.;7,41;10;29;0;0;7790893000234;994;
ARCOR;ALFAJOR BON O BOM NEGRO SIMPLE 40G;64,15;90;40,3;0;0;7790040613706;65327;13/09/2022
ARCOR;ALFAJOR BON O BON BLANCO SIMPLE 40G;64,15;88;37,17;0;0;7790040613607;65381;21/07/2022
ARCOR;ALFAJOR BON O BON TRIPLE X 60 G;146,5;200;36,52;0;0;7790040614000;65278;25/02/2023
ARCOR;ALFAJOR CABSHA NEGRO 47G;10,03;17;66;0;0;7790040444300;78;21/07/2022
CITRIC;ALFAJOR CACHAFAZ BLANCO;141,67;180;27,06;952;12;77934505;971;25/07/2022
CITRIC;ALFAJOR CACHAFAZ NEGRO;141,67;180;27,06;960;12,94;4390;59;25/07/2022
PALACIO;ALFAJOR CAPRICHO BLANCO;46,82;70;49,51;314,63;12;7798353430010;994;11/02/2022
PALACIO;ALFAJOR CAPRICHO MOUSSE;46,82;70;49,51;314,63;12;7798353430034;998;11/02/2022
PALACIO;ALFAJOR CAPRICHO NEGRO;46,82;70;49,51;314,63;12;7798353430027;97;11/02/2022
TERRABUSI;ALFAJOR CLASICO TERRABUSI 50G;109;150;37,61;0;-100;77939234;928;07/03/2023
ARCOR;ALFAJOR COFLER BLOCK 60G;140,82;200;42,03;0;0;7790040659605;65211;06/02/2023
ARCOR;ALFAJOR COFLER MOUSE NEGRO X 40G;10,03;17;66;0;0;7790040762503;91;21/07/2022
HUACHANA MARTIN;ALFAJOR EL GAUCHITO;113,05;150;32,68;779;14,79;3267;797;10/09/2022
HUACHANA MARTIN;ALFAJOR FRUTA EL GAUCHITO;31,66;40;26,34;212,76;12;3294;-1;02/09/2020
PALACIO;ALFAJOR GRANDOTE 2X15;11,4;18;57;0;0;1539;21;
TALCA;ALFAJOR MANON SIMPLE;40,81;60;47,02;274;12;77980168;980;03/09/2022
OSOLA;ALFAJOR MARLEY;65;100;53,85;436,8;12;7798350431010;-19;18/06/2021
OSOLA;ALFAJOR MARLEY BLANCO;65;100;53,85;436,8;12;7798350431027;958;26/06/2021
TERRABUSI;ALFAJOR MILKA DULCE DE LECHE TRIPLE X 70 g;162;220;35,8;0;0;77903778;551;25/02/2023
ARCOR;ALFAJOR MILKA MOUSE TRIPLE X 55G;20,04;33;66;0;0;7790385;94;21/07/2022
TERRABUSI;ALFAJOR MILKA MOUSSE;162;220;35,8;0;2;77903785;242;25/02/2023
TERRABUSI;ALFAJOR MILKA MOUSSE 42 GR;64;80;25;430;12;7622300759506;974;11/04/2022
TERRABUSI;ALFAJOR MILKA MOUSSE BLANCO;162;220;35,8;1089;12;7622300457303;928;25/02/2023
TERRABUSI;ALFAJOR MILKA TORTA OREO;162;220;35,8;1089;12;7622300835620;850;25/02/2023
ARCOR;ALFAJOR MINI AGUILA BLANCO;10,18;24;137,81;68,4;12;7790040125728;11;21/07/2022
ARCOR;01/06/2001;149,34;187;25,22;1003,56;12;7790040129306;996;21/07/2022
ARCOR;ALFAJOR MINI TOFI X 6 ok;58,89;84;41,8;395,76;12;7790040116641;98;21/07/2022
ARCOR;ALFAJOR MINITORTA AGUILA BLANCO;146,5;200;36,52;984;12;7790040133570;994;25/02/2023
ARCOR;ALFAJOR MINITORTA AGUILA CLASICA;146,5;200;36,52;984;12;7790040133587;985;25/02/2023
